ICAO,PHASE,RANGE,DATE,MVTS_VALID,MVTS_NA,TOT_ASMA,TOT_REF,TOT_ADD_TIME,TOT_ASMA_SUPPLIED,TOT_UNIMP_SUPPLIED,TOT_ADD_SUPPLIED
SBBR,ARR,C40,2023-02-15,152,72,2122.45,1972.33,150.11999999999998,2122.45,1907.8833333333334,187.8
SBBR,ARR,C100,2023-02-16,106,113,2671.2,2341.3233333333333,329.87666666666667,2671.2,2304.576666666667,366.62333333333333
SBBR,ARR,C40,2023-02-16,111,108,1638.0666666666666,1456.2066666666667,181.86,1638.0666666666666,1423.61,214.45666666666668
SBBR,ARR,C100,2023-02-17,168,56,4200.3,3635.78,564.52,4200.3,3652.2566666666667,548.0433333333333
SBBR,ARR,C40,2023-02-17,172,52,2659.3166666666666,2289.2833333333333,370.03333333333336,2659.3166666666666,2262.75,396.56666666666666
SBBR,ARR,C100,2023-02-18,139,25,3291.9666666666667,3054.673333333333,237.29333333333335,3291.9666666666667,3028.3733333333334,263.5933333333333
SBBR,ARR,C40,2023-02-18,145,19,2003.7333333333333,1859.72,144.01333333333332,2003.7333333333333,1821.8833333333332,181.85
SBBR,ARR,C100,2023-02-19,91,10,2139.016666666667,1985.0533333333333,153.96333333333334,2139.016666666667,1980.8066666666666,158.21
SBBR,ARR,C40,2023-02-19,94,7,1295.6666666666667,1218.6866666666667,76.97999999999999,1295.6666666666667,1198.55,97.11666666666666
SBBR,ARR,C100,2023-02-20,112,7,2653.5333333333333,2432.3,221.23333333333332,2653.5333333333333,2428.1233333333334,225.41
SBBR,ARR,C40,2023-02-20,112,7,1564.8,1451.3833333333334,113.41666666666666,1564.8,1424.2233333333334,140.57666666666668
SBBR,ARR,C100,2023-02-21,138,13,3378.55,2989.983333333333,388.56666666666666,3378.55,2971.44,407.11
SBBR,ARR,C40,2023-02-21,144,7,2061.233333333333,1826.8433333333332,234.39000000000001,2061.233333333333,1798.02,263.2133333333333
SBBR,ARR,C100,2023-02-22,141,25,3538.266666666667,3045.8133333333335,492.4533333333333,3538.266666666667,3042.0266666666666,496.24
SBBR,ARR,C40,2023-02-22,142,24,2095.6,1835.7933333333333,259.80666666666673,2095.6,1816.3633333333332,279.2366666666667
SBBR,ARR,C100,2023-02-23,145,40,3498.366666666667,3168.4733333333334,329.8933333333333,3498.366666666667,3147.46,350.90666666666664
SBBR,ARR,C40,2023-02-23,149,36,2102.866666666667,1917.92,184.9466666666667,2102.866666666667,1879.0233333333333,223.84333333333333
SBBR,ARR,C100,2023-02-24,158,29,3879.9166666666665,3429.7733333333335,450.1433333333333,3879.9166666666665,3388.9666666666667,490.95
SBBR,ARR,C40,2023-02-24,160,27,2303.5333333333333,2063.6233333333334,239.91000000000003,2303.5333333333333,2012.2066666666667,291.32666666666665
SBBR,ARR,C100,2023-02-25,139,14,3254.7,3001.5266666666666,253.17333333333332,3254.7,2998.76,255.94
SBBR,ARR,C40,2023-02-25,135,18,1870.7833333333333,1731.0866666666666,139.69666666666666,1870.7833333333333,1703.43,167.35333333333332
SBBR,ARR,C100,2023-02-26,146,12,3524.116666666667,3205.653333333333,318.46333333333337,3524.116666666667,3190.3933333333334,333.72333333333336
SBBR,ARR,C40,2023-02-26,147,11,2136.366666666667,1953.82,182.54666666666668,2136.366666666667,1919.1866666666667,217.18
SBBR,ARR,C100,2023-02-27,194,29,4678.583333333333,4229.983333333334,448.6,4678.583333333333,4191.873333333333,486.71
SBBR,ARR,C40,2023-02-27,201,22,2845.866666666667,2616.403333333333,229.4633333333333,2845.866666666667,2558.596666666667,287.27
SBBR,ARR,C100,2023-02-28,204,35,4919.433333333333,4463.783333333334,455.65000000000003,4919.433333333333,4414.356666666667,505.07666666666665
SBBR,ARR,C40,2023-02-28,211,28,2997.4333333333334,2708.8333333333335,288.59999999999997,2997.4333333333334,2638.8533333333335,358.58
SBBR,ARR,C100,2023-03-01,178,27,4436.55,3869.82,566.73,4436.55,3810.5933333333332,625.9566666666667
SBBR,ARR,C40,2023-03-01,185,20,2694.383333333333,2370.8233333333333,323.56,2694.383333333333,2315.1666666666665,379.21666666666664
SBBR,ARR,C100,2023-03-02,187,38,4421.15,4012.3,408.84999999999997,4421.15,3996.2933333333335,424.8566666666667
SBBR,ARR,C40,2023-03-02,186,39,2537.4666666666667,2328.423333333333,209.04333333333332,2537.4666666666667,2283.31,254.15666666666667
SBBR,ARR,C100,2023-03-03,174,51,4252.933333333333,3732.7433333333333,520.1899999999999,4252.933333333333,3743.6966666666667,509.2366666666667
SBBR,ARR,C40,2023-03-03,178,47,2553.2666666666664,2263.923333333333,289.3433333333333,2553.2666666666664,2233.943333333333,319.3233333333333
SBBR,ARR,C100,2023-03-04,145,14,3503.3166666666666,3152.52,350.7966666666666,3503.3166666666666,3130.2400000000002,373.07666666666665
