ICAO,PHASE,DATE,MVTS_VALID,MVTS_NA,TOT_TXXT,TOT_REF,TOT_ADD_TIME
SBBR,ARR,2025-01-01,106,23,605.8333333333334,461.24333333333334,144.59
SBBR,ARR,2025-01-02,142,33,888.1333333333333,630.5733333333334,257.56
SBBR,ARR,2025-01-03,148,33,966.5833333333334,785.2933333333333,181.29
SBBR,ARR,2025-01-04,139,33,902.2333333333333,712.2333333333333,190
SBBR,ARR,2025-01-05,145,31,978.5166666666667,683.1933333333334,295.3233333333333
SBBR,ARR,2025-01-06,149,33,1100.4333333333334,766.63,333.80333333333334
SBBR,ARR,2025-01-07,150,46,1060.8166666666666,809.3666666666667,251.45
SBBR,ARR,2025-01-08,148,53,1064.45,798.9366666666667,265.5133333333333
SBBR,ARR,2025-01-09,148,27,1020.3666666666667,813.5633333333334,206.8033333333333
SBBR,ARR,2025-01-10,147,37,1019.4666666666667,772.04,247.42666666666665
SBBR,ARR,2025-01-11,140,38,927.15,747.9366666666667,179.2133333333333
SBBR,ARR,2025-01-12,139,37,967.4,703.41,263.98999999999995
SBBR,ARR,2025-01-13,143,41,949.0333333333333,736.7533333333333,212.27999999999997
SBBR,ARR,2025-01-14,150,45,976.1333333333333,794.2533333333333,181.88
SBBR,ARR,2025-01-15,153,61,1128.5,807.97,320.53
SBBR,ARR,2025-01-16,149,38,910.55,691.07,219.48
SBBR,ARR,2025-01-17,146,56,873.25,611.6800000000001,261.57
SBBR,ARR,2025-01-18,133,34,793.3833333333333,600.4633333333334,192.92
SBBR,ARR,2025-01-19,134,28,849.8,669.1733333333334,180.62666666666664
SBBR,ARR,2025-01-20,150,47,875.4833333333333,678.96,196.5233333333333
SBBR,ARR,2025-01-21,144,55,851.6,666.3666666666667,185.23333333333332
SBBR,ARR,2025-01-22,148,45,901.3,636.3366666666667,264.9633333333333
SBBR,ARR,2025-01-23,146,46,857.3166666666667,640.89,216.42666666666665
SBBR,ARR,2025-01-24,147,60,818.7166666666667,629.6533333333333,189.06333333333333
SBBR,ARR,2025-01-25,130,27,734.3333333333334,578.0766666666667,156.25666666666666
SBBR,ARR,2025-01-26,137,30,756.9333333333333,623.2,133.73333333333332
SBBR,ARR,2025-01-27,146,46,916.25,707.4533333333334,208.79666666666665
SBBR,ARR,2025-01-28,145,61,866.1666666666666,684.0933333333334,182.07333333333332
SBBR,ARR,2025-01-29,154,64,879.6166666666667,665.2533333333333,214.36333333333332
SBBR,ARR,2025-01-30,154,66,1064.95,802.62,262.33
SBBR,ARR,2025-01-31,145,77,919.95,703.0133333333333,216.93666666666667
SBBR,ARR,2025-02-01,137,49,1021.4333333333333,762.5633333333334,258.87
SBBR,ARR,2025-02-02,134,34,781.3833333333333,631.7,149.68333333333334
SBBR,ARR,2025-02-03,152,58,931.5666666666667,706.3566666666667,225.20999999999998
SBBR,ARR,2025-02-04,160,68,944.95,729.73,215.22
SBBR,ARR,2025-02-05,159,88,892.2,674.72,217.48
SBBR,ARR,2025-02-06,166,68,928.7833333333333,708.0266666666666,220.75666666666666
SBBR,ARR,2025-02-07,160,68,896.35,689.01,207.34
SBBR,ARR,2025-02-08,139,32,831.7,605.8100000000001,225.89
SBBR,ARR,2025-02-09,138,39,762.0833333333334,583.1633333333333,178.92
