YEAR,PHASE,MVTS_TOTAL,MVTS_VALID,MVTS_NA,TOT_TXXT,TOT_REF,TOT_ADD_TIME
2023,ARR,712815,566554,146261,3071260.4000000004,2156535.8033333328,914724.5966666648
2023,DEP,706447,559753,146694,8190840.9833333315,6174198.803333335,2016642.1800000074
2024,ARR,709572,576372,133200,3340801.7333333427,2287581.606666664,1053220.1266666711
2024,DEP,702177,574686,127491,8485136.833333338,6472142.096666687,2012994.7366666615
2025,ARR,738938,614995,123943,3657578.266666673,2468327.5233333316,1189250.743333336
2025,DEP,731987,610314,121673,8598018.36666668,6884655.033333309,1713363.3333333302
2026,ARR,303153,244006,59147,1493899.7000000011,966743.7733333324,527155.9266666664
2026,DEP,300580,235546,65034,3364979.499999999,2638967.7099999953,726011.7900000005
