YEAR,PHASE,MVTS_TOTAL,MVTS_VALID,MVTS_NA,TOT_TXXT,TOT_REF,TOT_ADD_TIME
2024,ARR,709572,576372,133200,3340801.7333333334,2287581.6066666665,1053220.1266666667
2024,DEP,702177,574686,127491,8485136.833333334,6472142.096666667,2012994.7366666666
2025,ARR,738938,614995,123943,3657578.2666666666,2468327.5233333334,1189250.7433333334
2025,DEP,731987,610314,121673,8598018.366666667,6884655.033333333,1713363.3333333333
2026,ARR,303153,244006,59147,1493899.7,966743.7733333333,527155.9266666666
2026,DEP,300580,235546,65034,3364979.5,2638967.71,726011.7899999999
