ICAO,PHASE,DATE,MVTS_VALID,MVTS_NA,TOT_TXXT,TOT_REF,TOT_ADD_TIME
SBBR,ARR,2024-01-01,110,10,659.4833333333333,526.5766666666667,132.90666666666667
SBBR,ARR,2024-01-02,143,31,996.8333333333334,599.9,396.93333333333334
SBBR,ARR,2024-01-03,155,29,1192.9166666666667,754.2366666666667,438.68
SBBR,ARR,2024-01-04,140,32,973.45,755.52,217.92999999999998
SBBR,ARR,2024-01-05,148,33,955.9333333333333,806.1333333333333,149.79999999999998
SBBR,ARR,2024-01-06,133,33,949.85,701.7433333333333,248.10666666666665
SBBR,ARR,2024-01-07,131,33,976.4833333333333,651.13,325.3533333333333
SBBR,ARR,2024-01-08,151,48,1079.9333333333334,747.5633333333334,332.37
SBBR,ARR,2024-01-09,149,60,883.9166666666666,685.4833333333333,198.43333333333334
SBBR,ARR,2024-01-10,153,45,1016.95,717.6700000000001,299.28
SBBR,ARR,2024-01-11,143,39,942.6833333333333,729.5866666666667,213.09666666666666
SBBR,ARR,2024-01-12,147,46,854.1166666666667,670.5233333333333,183.59333333333333
SBBR,ARR,2024-01-13,129,28,757.45,580.7,176.75
SBBR,ARR,2024-01-14,129,33,796.65,646.3766666666667,150.27333333333334
SBBR,ARR,2024-01-15,146,47,863.45,697.4033333333333,166.04666666666665
SBBR,ARR,2024-01-16,154,47,1007.5666666666667,729.4266666666667,278.14
SBBR,ARR,2024-01-17,142,44,858.5166666666667,728.3966666666666,130.11999999999998
SBBR,ARR,2024-01-18,154,52,973.6333333333333,719.8233333333334,253.80999999999997
SBBR,ARR,2024-01-19,143,43,925.4166666666666,742.3966666666666,183.01999999999998
SBBR,ARR,2024-01-20,133,21,757.75,607.5033333333333,150.24666666666667
SBBR,ARR,2024-01-21,130,20,860.5666666666667,694.36,166.20666666666665
SBBR,ARR,2024-01-22,144,56,905.5666666666667,742.2366666666667,163.32999999999998
SBBR,ARR,2024-01-23,150,52,946.15,781.36,164.79
SBBR,ARR,2024-01-24,149,62,964.9166666666666,810.1066666666667,154.80999999999997
SBBR,ARR,2024-01-25,146,58,917.3333333333334,769.6766666666667,147.65666666666664
SBBR,ARR,2024-01-26,146,41,868.2833333333333,645.7133333333334,222.57
SBBR,ARR,2024-01-27,137,22,779.6,615.89,163.71
SBBR,ARR,2024-01-28,132,23,835.5,697.7233333333334,137.77666666666664
SBBR,ARR,2024-01-29,148,38,971.8166666666667,799.9033333333333,171.91333333333333
SBBR,ARR,2024-01-30,147,68,930.9833333333333,764.2933333333333,166.68999999999997
SBBR,ARR,2024-01-31,142,57,852.2,621.3066666666667,230.89333333333332
SBBR,ARR,2024-02-01,144,70,813.4166666666666,634.5333333333333,178.88333333333333
SBBR,ARR,2024-02-02,143,49,820.4666666666667,653.9166666666666,166.54999999999998
SBBR,ARR,2024-02-03,132,28,740.5333333333333,573.0966666666667,167.43666666666667
SBBR,ARR,2024-02-04,130,37,715.8,558.69,157.10999999999999
SBBR,ARR,2024-02-05,152,60,922.05,698.3833333333333,223.66666666666666
SBBR,ARR,2024-02-06,151,67,958.25,690.37,267.88
SBBR,ARR,2024-02-07,150,73,969.4166666666666,721.6366666666667,247.78
SBBR,ARR,2024-02-08,144,59,947.9333333333333,727.7866666666666,220.14666666666665
SBBR,ARR,2024-02-09,156,40,942.2666666666667,685.7633333333333,256.50333333333333
SBBR,ARR,2024-02-10,127,23,730.5833333333334,559.05,171.53333333333333
SBBR,ARR,2024-02-11,91,19,517.9833333333333,395.98,122.00333333333333
SBBR,ARR,2024-02-12,105,16,588.55,453.85333333333335,134.69666666666666
SBBR,ARR,2024-02-13,113,37,640.0666666666667,503.1666666666667,136.9
SBBR,ARR,2024-02-14,132,43,723.7666666666667,564.46,159.30666666666667
SBBR,ARR,2024-02-15,138,39,741.0666666666667,613.2033333333334,127.86333333333332
SBBR,ARR,2024-02-16,145,37,940.2,705.1933333333334,235.00666666666666
SBBR,ARR,2024-02-17,131,24,773.4833333333333,640.69,132.79333333333332
SBBR,ARR,2024-02-18,119,27,816.6166666666667,626.0333333333333,190.58333333333331
SBBR,ARR,2024-02-19,161,64,1098.7166666666667,848.57,250.14666666666665
SBBR,ARR,2024-02-20,160,64,1144.2833333333333,878.1966666666667,266.08666666666664
SBBR,ARR,2024-02-21,150,69,845.4833333333333,649.14,196.3433333333333
SBBR,ARR,2024-02-22,154,69,1009.4666666666667,790.7466666666667,218.72
SBBR,ARR,2024-02-23,156,54,989.6833333333333,751.5266666666666,238.15666666666664
SBBR,ARR,2024-02-24,128,33,693.0666666666666,541.82,151.24666666666664
SBBR,ARR,2024-02-25,122,29,693.4833333333333,516.7366666666667,176.74666666666664
SBBR,ARR,2024-02-26,154,51,850.05,665.2366666666667,184.81333333333333
SBBR,ARR,2024-02-27,154,69,931.9833333333333,652.9966666666667,278.9866666666667
SBBR,ARR,2024-02-28,151,75,809.1,639.94,169.16
SBBR,ARR,2024-02-29,154,67,992.2166666666667,744.1866666666667,248.02999999999997
SBBR,ARR,2024-03-01,161,71,1065.2833333333333,854.94,210.3433333333333
SBBR,ARR,2024-03-02,128,38,808.8166666666666,650.1966666666667,158.61999999999998
SBBR,ARR,2024-03-03,121,34,743.1666666666666,588.1166666666667,155.04999999999998
SBBR,ARR,2024-03-04,153,59,1022.7333333333333,747.1633333333333,275.57
SBBR,ARR,2024-03-05,155,66,907.2166666666667,666.85,240.36666666666665
SBBR,ARR,2024-03-06,155,78,1049.25,741.33,307.91999999999996
SBBR,ARR,2024-03-07,153,63,867.7166666666667,661.6466666666666,206.07
SBBR,ARR,2024-03-08,156,59,867.3166666666666,661.9733333333334,205.34333333333333
SBBR,ARR,2024-03-09,132,44,699.55,566.9766666666667,132.57333333333332
SBBR,ARR,2024-03-10,123,33,830.45,654.0333333333333,176.41666666666666
SBBR,ARR,2024-03-11,152,43,1066.1833333333334,792.26,273.9233333333333
SBBR,ARR,2024-03-12,163,70,1061.4,770.4033333333333,290.99666666666667
SBBR,ARR,2024-03-13,155,88,939.35,680.62,258.72999999999996
SBBR,ARR,2024-03-14,155,66,1016.2333333333333,757.53,258.7033333333333
SBBR,ARR,2024-03-15,149,73,862.9,642.1466666666666,220.75333333333333
SBBR,ARR,2024-03-16,137,30,747.0666666666667,598.6333333333333,148.43333333333334
